Cohort_month,Period,Total_users,User_count
January-22,0,2,2
January-22,1,2,2
January-22,2,2,2
January-22,3,2,2
January-22,4,2,2
January-22,5,2,2
January-22,6,2,2
January-22,7,2,2
January-22,8,2,2
January-22,9,2,2
January-22,10,2,2
January-22,11,2,2
January-22,12,2,2
January-22,13,2,2
January-22,14,2,2
January-22,15,2,2
January-22,16,2,2
January-22,17,2,2
January-22,18,2,2
January-22,19,2,2
January-22,20,2,2
January-22,21,2,2
January-22,22,2,2
January-22,23,2,2
January-22,24,2,2
January-22,25,2,1
February-22,0,1,1
February-22,1,1,1
February-22,2,1,1
February-22,3,1,1
February-22,4,1,1
February-22,5,1,1
February-22,6,1,1
February-22,7,1,1
February-22,8,1,1
February-22,9,1,1
February-22,10,1,1
February-22,11,1,1
February-22,12,1,1
February-22,13,1,1
February-22,14,1,1
February-22,15,1,1
February-22,16,1,1
February-22,17,1,1
February-22,18,1,1
February-22,19,1,1
February-22,20,1,1
February-22,21,1,1
February-22,22,1,1
February-22,23,1,1
May-22,0,1,1
May-22,1,1,1
May-22,2,1,1
May-22,3,1,1
May-22,4,1,1
May-22,5,1,1
May-22,6,1,1
May-22,7,1,1
May-22,8,1,1
May-22,9,1,1
May-22,10,1,1
May-22,11,1,1
May-22,12,1,1
May-22,13,1,1
May-22,14,1,1
May-22,15,1,1
May-22,16,1,1
May-22,17,1,1
May-22,18,1,1
May-22,19,1,1
May-22,20,1,1
May-22,21,1,1
June-22,0,1,1
June-22,1,1,1
June-22,2,1,1
June-22,3,1,1
June-22,4,1,1
June-22,5,1,1
June-22,6,1,1
June-22,7,1,1
June-22,8,1,1
June-22,9,1,1
June-22,10,1,1
June-22,11,1,1
June-22,12,1,1
June-22,13,1,1
June-22,14,1,1
June-22,15,1,1
June-22,16,1,1
June-22,17,1,1
June-22,18,1,1
June-22,19,1,1
June-22,20,1,1
August-22,0,1,1
August-22,1,1,1
August-22,2,1,1
August-22,3,1,1
August-22,4,1,1
August-22,5,1,1
August-22,6,1,1
August-22,7,1,1
August-22,8,1,1
August-22,9,1,1
August-22,10,1,1
August-22,11,1,1
August-22,12,1,1
August-22,13,1,1
August-22,14,1,1
August-22,15,1,1
August-22,16,1,1
August-22,17,1,1
November-22,0,1,1
November-22,1,1,1
November-22,2,1,1
November-22,3,1,1
November-22,4,1,1
November-22,5,1,1
November-22,6,1,1
November-22,7,1,1
November-22,8,1,1
November-22,9,1,1
November-22,10,1,1
November-22,11,1,1
November-22,12,1,1
November-22,13,1,1
November-22,14,1,1
November-22,15,1,1
December-22,0,1,1
December-22,1,1,1
December-22,2,1,1
December-22,3,1,1
December-22,4,1,1
December-22,5,1,1
December-22,6,1,1
December-22,7,1,1
December-22,8,1,1
December-22,9,1,1
December-22,10,1,1
December-22,11,1,1
December-22,12,1,1
December-22,13,1,1
December-22,14,1,1
February-23,0,1,1
February-23,1,1,1
February-23,2,1,1
February-23,3,1,1
February-23,4,1,1
February-23,5,1,1
February-23,6,1,1
February-23,7,1,1
February-23,8,1,1
February-23,9,1,1
February-23,10,1,1
February-23,11,1,1
February-23,12,1,1
March-23,0,1,1
March-23,1,1,1
March-23,2,1,1
March-23,3,1,1
March-23,4,1,1
March-23,5,1,1
March-23,6,1,1
March-23,7,1,1
March-23,8,1,1
March-23,9,1,1
March-23,10,1,1
March-23,11,1,1
October-23,0,1,1
October-23,1,1,1
October-23,2,1,1
October-23,3,1,1
October-23,4,1,1
January-24,0,1,1
January-24,1,1,1
February-24,0,1,1